#  ID    TEFF     LOGG     META    ALPHAM   COEFF   Min.Coeff  log(M/L)   AV   N.Coeff  Err.Coeff 
 0000   3.6518   1.9901  -0.3982   0.1068  0.0000     0.0000   12.5563  0.00   0.0000     0.0000
 0001   3.7483   3.9461  -0.2441   0.1051  0.5296     0.5296   13.0903  0.00   0.5296     0.0001
 0002   3.9470   2.6666  -1.8128   0.2570  0.4704     0.4704   11.7999  0.00   0.4704     0.0000
 0003   3.8504   4.0838  -0.4464   0.0947  0.0000     0.0000   12.6643  0.00   0.0000     0.0000
 0000   3.6518   1.9901  -0.3982   0.1068  0.0000     0.0000   12.5563  0.00   0.0000     0.0000
 0001   3.7483   3.9461  -0.2441   0.1051  0.5951     0.5951   13.0903  0.00   0.5951     0.0000
 0002   3.9470   2.6666  -1.8128   0.2570  0.4049     0.4049   11.7999  0.00   0.4049     0.0000
 0003   3.8504   4.0838  -0.4464   0.0947  0.0000     0.0000   12.6643  0.00   0.0000     0.0000
 0000   3.6518   1.9901  -0.3982   0.1068  0.0000     0.0000   12.5563  0.00   0.0000     0.0000
 0001   3.7483   3.9461  -0.2441   0.1051  0.5466     0.5466   13.0903  0.00   0.5466     0.0001
 0002   3.9470   2.6666  -1.8128   0.2570  0.4534     0.4534   11.7999  0.00   0.4534     0.0000
 0003   3.8504   4.0838  -0.4464   0.0947  0.0000     0.0000   12.6643  0.00   0.0000     0.0000
